職缺內容,公司名稱,內容,地址,薪資,網址
"【工業4.0／智慧製造】智能大數據整合工程師（Python）*到職滿6個月，留任獎金最高11,000* -視訊面試",欣興電子股份有限公司," Data mining, Machine learning, Deep learning等)
5. 數據發展與創新應用趨勢，利用AI解決方案或專案規劃

【加分項目】
具JAVA、SQL 程式能力者優

#Python
#機器學習 Machine",桃園市龜山區,"月薪32,000~70,000元",//www.104.com.tw/job/77jj5?jobsource=jolist_c_relevance
 【台北內湖】資深Python後端工程師 Python Back-end Engineer (Senior) (月薪7萬-9萬),沛思坦網路股份有限公司,We are looking for a Python Developer responsible for designing and developing hands-on software. You will work in a team,台北市內湖區,待遇面議,//www.104.com.tw/job/78ogt?jobsource=jolist_c_relevance
Big Data Back-End Developer_Python 大數據後端開發工程師_台中,雲端互動股份有限公司," Hadoop 的串接及使用
• 熟悉後端程式開發及相關框架: Python (Django)
• 具備 APIs設計及開發經驗
• 具備Swagger、JWT整合經驗
• 具備基本 OOP 觀念
• 熟悉 Git",台中市西屯區,待遇面議,//www.104.com.tw/job/7btlw?jobsource=jolist_c_relevance
Java/Python/Go 大數據平台工程師,艾得基客行銷顧問股份有限公司,"Java/Python/Go 大數據平台工程師

adGeek艾得基客是一家專注於網路廣告優化及行銷整合的互聯網公司。目前我們團隊處於高速開發產品的時間，產品的功能相當多，可以玩與嚐試的東西很多，特別是架構面的東西，如消息隊列、大數據架構、設計模",台北市大安區,待遇面議,//www.104.com.tw/job/6j2dn?jobsource=jolist_c_relevance
Machine Learning Engineer(Voice),台灣利優資訊科技有限公司," teamwork with company wide DSP & SW teams
•	Lead ML/DL workflow and SW/HW environment development (Python to edge processor)",台北市大安區,"月薪70,000~100,000元",//www.104.com.tw/job/797zf?jobsource=jolist_c_relevance
【新店區】知名外商搜尋引擎龍頭 徵Tester_OCS_134-2555,藝珂人事顧問股份有限公司, python programming.,新北市新店區,"月薪48,000~78,000元",//www.104.com.tw/job/70tr0?jobsource=jolist_c_relevance
"軟體 工程師 (Java, Python, LabVIEW) - 台北或新竹",動力安全資訊股份有限公司,"[About the Job]
IoT物連網是甚麼？智慧建築(Smart Building)、智慧製造(Smart Factory)、智慧機房(Smart Data Center)等熱門新興產業，到底在做甚麼？在動力安全，你將會找到答案。

在動力安全，我們帶領企業客戶邁向以軟體整合應用(Software Defined)為基礎的智慧化轉型（智慧建築、智慧機房、智慧製造、物聯網與工業4.0）。協助客戶提高安全與效率，增強在國際上的競爭能力。若你對智慧產業及IoT物連網有興趣，以及對寫軟體程式、學習新技術充滿熱忱，歡迎你加入動力安全的行列。

[Role and Responsibilities]  
- 設計開發智慧化的應用軟體系統
- 編寫軟體規格文件，測試計劃等
- 需與其它部門協同合作",台北市內湖區,"月薪32,000元以上",//www.104.com.tw/job/44234?jobsource=jolist_c_relevance
安卓Embedded automation with Python(週休二日不需輪班),台灣愛渠西來技術股份有限公司," git/Pull Requests
•	Strong Programming experience on Python
•	Experience in Embedded Linux Environment.
＊ working permit and",新北市板橋區,"年薪800,000~1,500,000元",//www.104.com.tw/job/792ml?jobsource=jolist_c_relevance
"資料科學工程師（Data Science Python Engineer）-- 資料科學實驗室 (數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,"與程式開發，依照個人技術能力與發展安排，可能包含但不限如下相關內容：

- 資料 ETL 相關創新技術研究
- 基於 Spark ETL 技術，研發創新產品
- 基於 Python 語言之產品開發，推廣及後續維護
- 與數據分析師合作，進行機器學習",台北市信義區,"月薪30,000~90,000元",//www.104.com.tw/job/6w7ov?jobsource=jolist_c_relevance
Java / Python 軟體工程師 (大數據),PChome Online_網路家庭國際資訊(股)公司," 或 Python 程式語言
3.熟悉分散式架構相關知識。例如 Spark、Hadoop
4.熟悉關聯式資料庫的運用。例如 MySQL
5.熟悉 Linux 系統指令",台北市大安區,待遇面議,//www.104.com.tw/job/75kom?jobsource=jolist_c_relevance
Python 軟體工程師 - 高階,台灣競遊智慧網路有限公司,"主要工作內容

- 針對專案需求設計整體程式框架。
- 自行開發軟體系統 。
- 撰寫軟體技術文件。
- 自主測試及除錯能力。


其他職務相關要求

- 可與其他已開發程式串接。
- 程式撰寫習慣良好且符合團隊準則。
- 懂得使用 Git 做版本控管。
- 了解物件導向概念並可實作在程式中。

程式開發相關經驗五年以上，且有完整軟體專案開發經歷。",台北市中山區,"月薪80,000元以上",//www.104.com.tw/job/7bwjr?jobsource=jolist_c_relevance
